No.,Chinese Name,Japanese Name,English Name
492,极巨糖果,ダイマックスアメ,Dynamax Candy,充满能量的糖果。给予宝可梦后，极巨化等级能够提高１。当极巨化等级提高时，ＨＰ会增加。
493,替身护符１,みがわりおまもり１,Tempting Charm R,不可思议的护符。在人昏倒时，不知为何会比其他道具更先消失。是５种颜色的护符中的一种。
494,替身护符２,みがわりおまもり２,Tempting Charm B,-
495,替身护符３,みがわりおまもり３,Tempting Charm P,-
496,替身护符４,みがわりおまもり４,Tempting Charm T,-
497,替身护符５,みがわりおまもり５,Tempting Charm Y,-
498,安全护符１,あんぜんおまもり１,Survival Charm R,不可思议的护符。有着让人不易昏倒的效果。是５种颜色的护符中的一种。
499,安全护符２,あんぜんおまもり２,Survival Charm B,-
500,安全护符３,あんぜんおまもり３,Survival Charm P,-
501,安全护符４,あんぜんおまもり４,Survival Charm T,-
502,安全护符５,あんぜんおまもり５,Survival Charm Y,-
503,健康护符１,けんこうおまもり１,Warding Charm R,不可思议的护符。有着避免陷入异常状态的效果。是５种颜色的护符中的一种。
504,健康护符２,けんこうおまもり２,Warding Charm B,-
505,健康护符３,けんこうおまもり３,Warding Charm P,-
506,健康护符４,けんこうおまもり４,Warding Charm T,-
507,健康护符５,けんこうおまもり５,Warding Charm Y,}
508,球果果,ぼんぐりのみ,Apricorn,外壳可当成胶囊状容器使用，是被用来制作各种精灵球的树果。正式名称是茶球果。
509,弹子萁,タマゼンマイ,Caster Fern,能作为投掷用道具的材料使用的蕨类植物。将卷成漩涡状的叶片展开后，就是一张天然的包装纸。
510,玉石,たまいし,Tumblestone,不可思议的圆形石头。与球果组合后，能够激发出精灵球的性能。
511,木材,もくざい,Wood,从生活用品到工艺品，能在制作各种物品时作为材料的好用木材。
512,皇叶,キングリーフ,King’s Leaf,闪耀着光辉的香草之王。与药物的材料配合，可以提高其回复效果。
513,除虫草,ムシヨケソウ,Bugwort,生长在洗翠地区各地的野草。虽然具有药效，但由于味苦，野生宝可梦不会去吃它。
514,碎铁,てつのかけら,Iron Chunk,天然的金属片。可加工成锁扣等零件，在制作各种精灵球时使用。
515,黑玉石,くろいろたまいし,Black Tumblestone,不可思议的黑色石头。与球果组合后，能够激发出沉重球的性能。
516,天蓝玉石,そらいろたまいし,Sky Tumblestone,不可思议的天蓝色石头。与球果组合后，能够激发出飞羽球的性能。
517,惊声藻,バリバリモ,Pop Pod,能作为声弹的材料使用的海藻。将它包起来减少空气逸出的路径，然后施加冲击，就会发出巨大的声响。
518,烟芋,ケムリイモ,Sootfoot Root,能作为烟弹的材料使用的芋头。磨碎后能用来入菜，干燥后则会变成轻盈细致的粉末。
519,疗草,クスリソウ,Medicinal Leek,能用来调制成药品。生长在洗翠地区各地，也被称为旅人良伴。
520,活力蕾,ゲンキノツボミ,Vivichoke,也被称为朝露之花苞。可作为给昏厥的宝可梦注入活力的道具材料。
521,ＰＰ草,ピーピーグサ,Pep-Up Plant,味道辛辣，有滋补强身的效果。能回复宝可梦的ＰＰ，以及作为能力强化道具的材料。
522,剑舞菇,ツルギマイタケ,Swordcap,食用后会让肌肉膨胀，发挥更强力量的菇类。可作为进攻药丸的材料。
523,铁壁木耳,テッペキクラゲ,Iron Barktongue,食用后会让身体变得坚硬，发挥更强耐力的菇类。可作为防守药丸的材料。
524,影分菇,カゲブンシメジ,Doppel Bonnets,食用后会让身体变得轻盈，使速度变得更快的菇类。可作为闪避强化的材料。
525,要害松露,キュウショウロ,Direshroom,食用后会让注意力更加集中，增加击中要害机率的菇类。可作为要害攻击的材料。
526,沙滩萝卜,スナハマダイコン,Sand Radish,原本生长在沙滩的根菜，经过改良后在冻土也能生长。根部味苦，腌渍后则会变得甜中带辣，可作为双倍腌菜的材料。
527,甜松露,スイートトリュフ,Candy Truffle,充满了不可思议能量的甘甜菇类。可作为各种道具的材料。
528,诱团原料,よせだまのもと,Cake-Lure Base,与宝可梦的食物混合后，香气会更加浓郁的口粮。
529,精灵球,"rowspan=""2""",モンスターボール,"rowspan=""2"" | Poké Ball"
530,超级球,"rowspan=""2""",スーパーボール,"rowspan=""2"" | Great Ball"
531,高级球,"rowspan=""2""",ハイパーボール,"rowspan=""2"" | Ultra Ball"
532,狩猎球,サファリボール,Safari Ball,曾在关都地区的狩猎地带以及神奥地区的大湿地被使用。是一种特殊的球。
533,大师球,マスターボール,Master Ball,必定能捉到野生宝可梦的，性能最好的球。
534,速度球,スピードボール,Fast Ball,有点与众不同的球。能很容易地捕捉逃跑速度很快的宝可梦。
535,等级球,レベルボール,Level Ball,有点与众不同的球。要捕捉的宝可梦比自己宝可梦的等级越低，就会越容易捕捉。
536,诱饵球,ルアーボール,Lure Ball,有点与众不同的球。能很容易地捕捉用钓竿钓上来的宝可梦。
537,甜蜜球,ラブラブボール,Love Ball,有点与众不同的球。能很容易地捕捉和自己宝可梦性别不同的宝可梦。
538,友友球,フレンドボール,Friend Ball,有点与众不同的球。捉到的野生宝可梦会立刻变得和训练家亲密起来。
539,月亮球,ムーンボール,Moon Ball,有点与众不同的球。能很容易地捕捉使用月之石进化的宝可梦。
540,沉重球,"rowspan=""2""",ヘビーボール,"rowspan=""2"" | Heavy Ball"
541,超重球,メガトンボール,Leaden Ball,强化后的沉重球。沉重而无法远投，但若能命中掉以轻心的宝可梦，就能发挥强大的捕获能力。
542,巨重球,ギガトンボール,Gigaton Ball,强化到最高阶的沉重球。沉重而无法远投，但若能命中掉以轻心的宝可梦，就能发挥强大的捕获能力。
543,竞赛球,コンペボール,Sport Ball,曽在城都地区的捕虫大赛上使用的特殊的球。
544,公园球,パークボール,Park Ball,在伙伴公园里使用的特殊的球。
545,捕网球,ネットボール,Net Ball,有点与众不同的球。能很容易地捕捉水属性和虫属性的宝可梦。
546,潜水球,ダイブボール,Dive Ball,有点与众不同的球。能很容易地捕捉生活在水世界里的宝可梦。
547,巢穴球,ネストボール,Nest Ball,有点与众不同的球。捕捉的野生宝可梦越弱，就会越容易捕捉。
548,重复球,リピートボール,Repeat Ball,有点与众不同的球。能很容易地捕捉以前曾捉到过的宝可梦。
549,计时球,タイマーボール,Timer Ball,有点与众不同的球。回合数花费得越多，宝可梦就会越容易捕捉。
550,豪华球,ゴージャスボール,Luxury Ball,住着十分惬意的球。捉到的野生宝可梦会变得容易和训练家亲密。
551,纪念球,プレミアボール,Premier Ball,有点珍贵的球。特制出来的某种纪念品。
552,黑暗球,ダークボール,Dusk Ball,有点与众不同的球。能很容易地在夜晚或洞窟等阴暗的地方捕捉宝可梦。
553,治愈球,ヒールボール,Heal Ball,有点温柔的球。能回复捉到的宝可梦的ＨＰ并治愈异常状态。
554,先机球,クイックボール,Quick Ball,有点与众不同的球。如果战斗开始后立刻使用，就能很容易地捉到宝可梦。
555,贵重球,プレシャスボール,Cherish Ball,相当珍贵的球。特制出来的某种纪念品。
556,梦境球,ドリームボール,Dream Ball,有点与众不同的球。能很容易地捕捉睡眠状态的宝可梦。
557,究极球,ウルトラボール,Beast Ball,为捕捉究极异兽而制作的特殊精灵球。很难捕捉究极异兽之外的宝可梦。
558,飞羽球,フェザーボール,Feather Ball,能直线高速飞行的球。在捕捉动作快速的宝可梦及飞在高空的宝可梦时十分有效。
559,飞翼球,ウイングボール,Wing Ball,强化后的飞羽球。能直线高速飞行，在捕捉动作快速的宝可梦及飞在高空的宝可梦时十分有效。
560,飞梭球,ジェットボール,Jet Ball,强化到最高阶的飞羽球。能直线高速飞行，在捕捉动作快速的宝可梦及飞在高空的宝可梦时十分有效。
561,奇异球,ストレンジボール,Strange Ball,ーーー
562,挖洞钻,あなほりドリル,Digger Drill,能够在墙上钻洞，以建造秘密基地的一次性钻头。
563,关都石板|gen=BDSP,カントーのせきばん,Kanto Slate,充满了神秘力量的石板。感觉它与玫瑰公园的关都之厅有着很深的关联。
564,城都石板|gen=BDSP,ジョウトのせきばん,Johto Slate,充满了神秘力量的石板。感觉它与玫瑰公园的城都之厅有着很深的关联。
565,心之石板|gen=BDSP,こころのせきばん,Soul Slate,充满了神秘力量的石板。感觉它与玫瑰公园的心之厅有着很深的关联。
566,彩虹石板|gen=BDSP,にじのせきばん,Rainbow Slate,充满了神秘力量的石板。感觉它与玫瑰公园的彩虹之厅有着很深的关联。
567,暴风石板|gen=BDSP,あらしのせきばん,Squall Slate,充满了神秘力量的石板。感觉它与玫瑰公园的暴风之厅有着很深的关联。
568,大海石板|gen=BDSP,たいかいのせきばん,Oceanic Slate,充满了神秘力量的石板。感觉它与玫瑰公园的大海之厅有着很深的关联。
569,大陆石板|gen=BDSP,たいりくのせきばん,Tectonic Slate,充满了神秘力量的石板。感觉它与玫瑰公园的大陆之厅有着很深的关联。
570,天空石板|gen=BDSP,てんくうのせきばん,Stratospheric Slate,充满了神秘力量的石板。感觉它与玫瑰公园的天空之厅有着很深的关联。
571,基因石板|gen=BDSP,いでんしのせきばん,Genome Slate,充满了神秘力量的石板。感觉它与玫瑰公园的基因之厅有着很深的关联。
572,引导石板|gen=BDSP,みちびきのせきばん,Discovery Slate,充满了神秘力量的石板。感觉它与玫瑰公园的引导之厅有着很深的关联。
573,毁坏石板|gen=BDSP,やぶれたせきばん,Distortion Slate,充满了神秘力量的石板。感觉它与玫瑰公园的毁坏之厅有着很深的关联。
574,小蘑菇,ちいさなキノコ,Tiny Mushroom,珍稀的小蘑菇。在一些爱好者中有着相当高的人气。
575,大蘑菇,おおきなキノコ,Big Mushroom,珍稀的大蘑菇。在一些爱好者中有着非常高的人气。
576,芳香蘑菇,かおるキノコ,Balm Mushroom,能让附近一带芳香四溢的珍稀蘑菇。可以在商店高价出售。
577,珍珠,しんじゅ,Pearl,散发着美丽银辉且有点小的珍珠。可以在商店低价出售。
578,大珍珠,おおきなしんじゅ,Big Pearl,散发着美丽银辉且相当大颗的珍珠。可以在商店高价出售。
579,丸子珍珠,おだんごしんじゅ,Pearl String,散发着美丽银辉且非常大颗的珍珠。可以在商店高价出售。
580,星星沙子,ほしのすな,Stardust,手感细腻且十分美丽的红色沙子。可以在商店低价出售。
581,星星碎片,ほしのかけら,Star Piece,闪着红光且十分美丽的宝石碎片。可以在商店高价出售。
582,彗星碎片,すいせいのかけら,Comet Shard,彗星临近时，掉落到地表上的碎片。可以在商店高价出售。
583,银色叶子,ぎんのはっぱ,Silver Leaf,神奇的银色叶子。至今仍未发现能长出这种叶子的树木 。
584,金色叶子,きんのはっぱ,Gold Leaf,神奇的金色叶子。至今仍未发现能长出这种叶子的树木。
585,金珠,きんのたま,Nugget,闪着金光，以纯金制成的珠子。可以在商店高价出售。
586,巨大金珠,でかいきんのたま,Big Nugget,以纯金制成，闪着金光的大珠子。可以在商店高价出售。
587,古代铜币,こだいのどうか,Relic Copper,约３０００年前的文明使用的铜币。
588,古代银币,こだいのぎんか,Relic Silver,约３０００年前的文明使用的银币。
589,古代金币,こだいのきんか,Relic Gold,约３０００年前的文明使用的金币。
590,古代之壶,こだいのツボ,Relic Vase,约３０００年前的文明制造的壶。
591,古代手镯,こだいのうでわ,Relic Band,约３０００年前的文明制造的手镯。
592,古代石像,こだいのせきぞう,Relic Statue,约３０００年前的文明制造的石像。
593,古代王冠,こだいのおうかん,Relic Crown,约３０００年前的文明制造的王冠。
594,小竹笋,ちいさなタケノコ,Tiny Bamboo Shoot,小小的珍贵竹笋。在部分美食家中拥有很高人气。
595,大竹笋,おおきなタケノコ,Big Bamboo Shoot,大大的珍贵竹笋。在部分美食家中拥有非常高人气。
596,砖瓦碎片,かわらのかけら,Brick Piece,破裂的砖瓦碎片。
597,贵重骨头,きちょうなホネ,Rare Bone,在宝可梦考古学上非常贵重的骨头。可以在商店高价出售。
598,甜甜蜜,あまいミツ,Honey,宝可梦采集的清甜芬芳的花蜜。可在商店里廉价出售。
599,美丽之羽,きれいなハネ,Pretty Wing,仅仅只是漂亮，没有任何效果，极其普通的羽毛。
600,神秘摆设,ふしぎなおきもの,Strange Souvenir,在阿罗拉地区，据说是模仿古时候被称为守护神的神奇宝可梦而制作的摆设。
601,松掉的弹簧,のびたバネ,Stretchy Spring,细小的弹簧。被拉得太长了，不知道能派上什么用。
602,粉笔石,チョークいし,Chalky Stone,路边捡到的白白的小石头。
603,弹珠,ビーだま,Marble,非常圆润的玻璃球。能在透明的球体中看见彩色玻璃的花纹。
604,一边的耳环,かたっぽピアス,Lone Earring,某人遗失的单只耳环。
605,海边的玻璃,うみべのガラス,Beach Glass,受到波浪的洗刷从而变成圆形的彩色玻璃片。表面摸起来有点粗糙不平。
606,光滑泥球,ピカピカだんご,Polished Mud Ball,用泥土制作的丸子。花了大把时间打磨，表面油光水滑。
607,南国贝壳,なんごくかいがら,Tropical Shell,美丽的白色贝壳。或许是从温暖的海域那里漂流到这里的。
608,宝可梦木娃娃,ポケモンこけし,Pokéshi Doll,宝可梦造型的木制玩具。可以在杂货店出售。
609,贝壳化石,かいのカセキ,Helix Fossil,很久以前栖息在海里的古代宝可梦的化石。好像是贝壳的一部分。
610,甲壳化石,こうらのカセキ,Dome Fossil,很久以前栖息在海里的古代宝可梦的化石。好像是甲壳的一部分。
611,秘密琥珀,ひみつのコハク,Old Amber,封存着古代宝可梦遗传基因的琥珀，透着点红色。
612,根状化石,ねっこのカセキ,Root Fossil,很久以前栖息在海里的古代宝可梦的化石。好像是根的一部分。
613,爪子化石,ツメのカセキ,Claw Fossil,很久以前栖息在海里的古代宝可梦的化石。好像是爪子的一部分。
614,头盖化石,ずがいのカセキ,Skull Fossil,很久以前生活在地上的古代宝可梦的化石。好像是头部的一部分。
615,盾甲化石,たてのカセキ,Armor Fossil,很久以前生活在地上的古代宝可梦的化石。好像是领饰的一部分。
616,背盖化石,ふたのカセキ,Cover Fossil,很久以前栖息在海里的古代宝可梦的化石。好像是后背的一部分。
617,羽毛化石,はねのカセキ,Plume Fossil,据说是鸟宝可梦的祖先，古代宝可梦的化石。好像是翅膀的一部分。
618,颚之化石,アゴのカセキ,Jaw Fossil,很久以前生活在地上的古代宝可梦的化石。好像是很大的颚的一部分。
619,鳍之化石,ヒレのカセキ,Sail Fossil,很久以前生活在地上的古代宝可梦的化石。好像是头鳍的一部分。
620,化石鸟,カセキのトリ,Fossilized Bird,远古时代的宝可梦化石残片。它曾翱翔于天空，本来面目至今仍是未解之谜。
621,化石鱼,カセキのサカナ,Fossilized Fish,远古时代的宝可梦化石残片。它曾栖息于大海，本来面目至今仍是未解之谜。
622,化石龙,カセキのリュウ,Fossilized Drake,远古时代的宝可梦化石残片。它曾栖息于陆地，本来面目至今仍是未解之谜。
623,化石海兽,カセキのクビナガ,Fossilized Dino,远古时代的宝可梦化石残片。它曾栖息于大海，本来面目至今仍是未解之谜。
624,能力防守,エフェクトガード,Guard Spec.,在战斗中，５回合内不让我方能力降低的道具。
625,要害攻击,クリティカット,"rowspan=""2""",Dire Hit
626,力量强化,プラスパワー,X Attack,大幅提高战斗中宝可梦攻击的道具。离场后，效果便会消失。
627,防御强化,ディフェンダー,X Defense,大幅提高战斗中宝可梦防御的道具。离场后，效果便会消失。
628,特攻强化,スペシャルアップ,X Sp. Atk,大幅提高战斗中宝可梦特攻的道具。离场后，效果便会消失。
629,特防强化,スペシャルガード,X Sp. Def,大幅提高战斗中宝可梦特防的道具。离场后，效果便会消失。
630,速度强化,スピーダー,X Speed,大幅提高战斗中宝可梦速度的道具。离场后，效果便会消失。
631,命中强化,ヨクアタール,X Accuracy,大幅提高战斗中宝可梦命中的道具。离场后，效果便会消失。
632,皮皮玩偶,ピッピにんぎょう,Poké Doll,能吸引宝可梦注意的道具。在和野生宝可梦的战斗中绝对可以逃走。
633,向尾喵的尾巴,エネコのシッポ,Fluffy Tail,能吸引宝可梦注意的道具。在和野生宝可梦的战斗中绝对可以逃走。
634,宝可尾草,ポケじゃらし,Poké Toy,能吸引宝可梦注意的道具。在和野生宝可梦的战斗中绝对可以逃走。
635,极巨菇菇,ダイキノコ,Max Mushrooms,拥有某种神奇力量的蘑菇，能改变宝可梦极巨化的样子。在战斗中，可以提高宝可梦所有的能力。
636,进攻药丸,せめのがんやく,Aux Power,大大提高战斗中宝可梦进攻力的道具。离场后，效果便会消失。
637,防守药丸,まもりのがんやく,Aux Guard,大大提高战斗中宝可梦防守力的道具。离场后，效果便会消失。
638,多重强化,マルチアップ,Aux Powerguard,大大提高战斗中宝可梦进攻力和防守力的道具。离场后，效果便会消失。
639,闪避强化,ヨクアタラーヌ,Aux Evasion,让宝可梦在战斗中变得较不易被对手招式命中的道具。离场后，效果便会消失。
640,讲究粽,こだわりちまき,Choice Dumpling,使用后会让宝可梦陷入热衷的粽子。所热衷的招式给予的伤害会增加，同时自己受到的伤害也会增加。
641,双倍腌菜,にばいづけ,Twice-Spiced Radish,可让宝可梦获得加倍效果的腌菜。使用后宝可梦的招式造成的伤害会暂时变成１.５倍。
642,颠倒烧,あべこべやき,Swap Snack,不可思议的食物。使用后可让宝可梦的进攻力和防守力暂时互换。
643,伤药,キズぐすり,Potion,喷雾式伤药。能让１只宝可梦回复２０ＨＰ。
644,好伤药,いいキズぐすり,Super Potion,喷雾式伤药。能让１只宝可梦回复６０ＨＰ。
645,厉害伤药,すごいキズぐすり,Hyper Potion,喷雾式伤药。能让１只宝可梦回复１２０ＨＰ。
646,全满药,まんたんのくすり,Max Potion,喷雾式伤药。能让１只宝可梦回复所有ＨＰ。
647,全复药,かいふくのくすり,Full Restore,能回复１只宝可梦的所有ＨＰ并治愈所有异常状态。
648,解毒药,どくけし,Antidote,喷雾式药水。能治愈１只宝可梦的中毒状态。
649,灼伤药,やけどなおし,Burn Heal,喷雾式药水。能治愈１只宝可梦的灼伤状态。
650,解冻药,こおりなおし,Ice Heal,喷雾式药水。能治愈１只宝可梦的冰冻状态。
651,解眠药,ねむけざまし,Awakening,喷雾式药水。能治愈１只宝可梦的睡眠状态。
652,解麻药,まひなおし,Paralyze Heal,喷雾式药水。能治愈１只宝可梦的麻痹状态。
653,万灵药,なんでもなおし,Full Heal,喷雾式药水。能治愈１只宝可梦的所有异常状态。
654,活力碎片,げんきのかけら,Revive,能让１只陷入濒死的宝可梦重获生机，并回复一半ＨＰ。
655,活力块,げんきのかたまり,Max Revive,能让１只陷入濒死的宝可梦重获生机，并回复所有ＨＰ。
656,美味之水,おいしいみず,Fresh Water,富含矿物质的水。能让１只宝可梦回复３０ＨＰ。
657,劲爽汽水,サイコソーダ,Soda Pop,翻腾着气泡的汽水。能让１只宝可梦回复５０ＨＰ。
658,果汁牛奶,ミックスオレ,Lemonade,非常香甜的牛奶。能让１只宝可梦回复７０ＨＰ。
659,哞哞鲜奶,モーモーミルク,Moomoo Milk,营养百分百的牛奶。能让１只宝可梦回复１００ＨＰ。
660,元气粉,ちからのこな,Energy Powder,非常苦的药粉。能让１只宝可梦回复６０ＨＰ。
661,元气根,ちからのねっこ,Energy Root,非常苦的根。能让１只宝可梦回复１２０ＨＰ。
662,万能粉,ばんのうごな,Heal Powder,非常苦的药粉。能治愈１只宝可梦的所有异常状态。
663,复活草,ふっかつそう,Revival Herb,非常苦的药草。能让１只濒死的宝可梦回复所有ＨＰ。
664,ＰＰ单项小补剂,ピーピーエイド,Ether,能让宝可梦学会的其中１个招式回复１０ＰＰ。
665,ＰＰ单项全补剂,ピーピーリカバー,Max Ether,能让宝可梦学会的其中１个招式回复所有ＰＰ。
666,ＰＰ多项小补剂,ピーピーエイダー,Elixir,能让宝可梦学会的４个招式各回复１０ＰＰ。
667,ＰＰ多项全补剂,ピーピーマックス,Max Elixir,能让宝可梦学会的４个招式回复所有ＰＰ。
668,愤怒馒头,いかりまんじゅう,Rage Candy Bar,卡吉镇特产的馒头。能治愈１只宝可梦的所有异常状态。
669,釜炎仙贝,フエンせんべい,Lava Cookie,釜炎特产的仙贝。能治愈１只宝可梦的所有异常状态。
670,森之羊羹,もりのヨウカン,Old Gateau,百代不为人知的特产。能治愈１只宝可梦的所有异常状态。
671,飞云冰淇淋,ヒウンアイス,Casteliacone,飞云市特产的冰淇淋。能治愈１只宝可梦的所有异常状态。
672,密阿雷格雷派饼,ミアレガレット,Lumiose Galette,在密阿雷市很受欢迎的点心。能治愈１只宝可梦的所有异常状态。
673,娑罗沙布蕾,シャラサブレ,Shalour Sable,娑罗市特产的沙布蕾。能治愈１只宝可梦的所有异常状态。
674,大马拉萨达,おおきいマラサダ,Big Malasada,阿罗拉特产的油炸面包。能治愈１只宝可梦的所有异常状态。
675,深灰米果,ニビあられ,Pewter Crunchies,深灰特产的糕点。能治愈１只宝可梦的所有异常状态。
676,祝庆玛芬,コトブキマフィン,Jubilife Muffin,祝庆村不为人知的特产，是宝可梦喜爱的食物，如今正渐渐流行起来。吃下后能治愈异常状态。
677,树果汁,きのみジュース,Berry Juice,１００％树果果汁。能让１只宝可梦回复２０ＨＰ。
678,心形甜点,ハートスイーツ,Sweet Heart,非常甜腻的巧克力。能让１只宝可梦回复２０ＨＰ。
679,圣灰,せいなるはい,Sacred Ash,能让陷入濒死的全部宝可梦回复所有ＨＰ。
680,极巨甜蜜,ダイミツ,Max Honey,极巨化的蜂女王制造出的蜜汁。放进极巨汤里，就能让汤的味道变得很温和。与活力块具有相同的效果。
681,中药,カンポーやく,Remedy,效果和伤药一样，能让１只宝可梦回复６０ＨＰ，但味道很苦，友好度会降低。
682,好中药,いいカンポーやく,Fine Remedy,效果和好伤药一样，能让１只宝可梦回复１００ＨＰ，但味道很苦，友好度会降低。
683,厉害中药,すごいカンポーやく,Superb Remedy,效果和厉害伤药一样，能让１只宝可梦回复１５０ＨＰ，但味道很苦，友好度会降低。
684,一般Ｚ,ノーマルＺ,Normalium Z,可用它来制造用于对战并能将一般属性招式升级成Ｚ招式的Ｚ力量结晶。
685,火Ｚ,ホノオＺ,Firium Z,可用它来制造用于对战并能将火属性招式升级成Ｚ招式的Ｚ力量结晶。
686,水Ｚ,ミズＺ,Waterium Z,可用它来制造用于对战并能将水属性招式升级成Ｚ招式的Ｚ力量结晶。
687,电Ｚ,デンキＺ,Electrium Z,可用它来制造用于对战并能将电属性招式升级成Ｚ招式的Ｚ力量结晶。
688,草Ｚ,クサＺ,Grassium Z,可用它来制造用于对战并能将草属性招式升级成Ｚ招式的Ｚ力量结晶。
689,冰Ｚ,コオリＺ,Icium Z,可用它来制造用于对战并能将冰属性招式升级成Ｚ招式的Ｚ力量结晶。
690,格斗Ｚ,カクトウＺ,Fightinium Z,可用它来制造用于对战并能将格斗属性招式升级成Ｚ招式的Ｚ力量结晶。
691,毒Ｚ,ドクＺ,Poisonium Z,可用它来制造用于对战并能将毒属性招式升级成Ｚ招式的Ｚ力量结晶。
692,地面Ｚ,ジメンＺ,Groundium Z,可用它来制造用于对战并能将地面属性招式升级成Ｚ招式的Ｚ力量结晶。
693,飞行Ｚ,ヒコウＺ,Flyinium Z,可用它来制造用于对战并能将飞行属性招式升级成Ｚ招式的Ｚ力量结晶。
694,超能力Ｚ,エスパーＺ,Psychium Z,可用它来制造用于对战并能将超能力属性招式升级成Ｚ招式的Ｚ力量结晶。
695,虫Ｚ,ムシＺ,Buginium Z,可用它来制造用于对战并能将虫属性招式升级成Ｚ招式的Ｚ力量结晶。
696,岩石Ｚ,イワＺ,Rockium Z,可用它来制造用于对战并能将岩石属性招式升级成Ｚ招式的Ｚ力量结晶。
697,幽灵Ｚ,ゴーストＺ,Ghostium Z,可用它来制造用于对战并能将幽灵属性招式升级成Ｚ招式的Ｚ力量结晶。
698,龙Ｚ,ドラゴンＺ,Dragonium Z,可用它来制造用于对战并能将龙属性招式升级成Ｚ招式的Ｚ力量结晶。
699,恶Ｚ,アクＺ,Darkinium Z,可用它来制造用于对战并能将恶属性招式升级成Ｚ招式的Ｚ力量结晶。
700,钢Ｚ,ハガネＺ,Steelium Z,可用它来制造用于对战并能将钢属性招式升级成Ｚ招式的Ｚ力量结晶。
701,妖精Ｚ,フェアリーＺ,Fairium Z,可用它来制造用于对战并能将妖精属性招式升级成Ｚ招式的Ｚ力量结晶。
702,皮卡丘Ｚ,ピカチュウＺ,Pikanium Z,可用它来制造用于对战并能将皮卡丘的伏特攻击升级成特殊Ｚ招式的Ｚ力量结晶。
703,狙射树枭Ｚ,ジュナイパーＺ,Decidium Z,可用它来制造用于对战并能将狙射树枭的缝影升级成特殊Ｚ招式的Ｚ力量结晶。
704,炽焰咆哮虎Ｚ,ガオガエンＺ,Incinium Z,可用它来制造用于对战并能将炽焰咆哮虎的ＤＤ金勾臂升级成特殊Ｚ招式的Ｚ力量结晶。
705,西狮海壬Ｚ,アシレーヌＺ,Primarium Z,可用它来制造用于对战并能将西狮海壬的泡影的咏叹调升级成特殊Ｚ招式的Ｚ力量结晶。
706,卡璞Ｚ,カプＺ,Tapunium Z,可用它来制造用于对战并能将卡璞们的自然之怒升级成特殊Ｚ招式的Ｚ力量结晶。
707,玛夏多Ｚ,マーシャドーＺ,Marshadium Z,可用它来制造用于对战并能将玛夏多的暗影偷盗升级成特殊Ｚ招式的Ｚ力量结晶。
708,阿罗雷Ｚ,アロライＺ,Aloraichium Z,可用它来制造用于对战并能将阿罗拉地区雷丘的十万伏特升级成特殊Ｚ招式的Ｚ力量结晶。
709,卡比兽Ｚ,カビゴンＺ,Snorlium Z,可用它来制造用于对战并能将卡比兽的终极冲击升级成特殊Ｚ招式的Ｚ力量结晶。
710,伊布Ｚ,イーブイＺ,Eevium Z,可用它来制造用于对战并能将伊布的珍藏升级成特殊Ｚ招式的Ｚ力量结晶。
711,梦幻Ｚ,ミュウＺ,Mewnium Z,可用它来制造用于对战并能将梦幻的精神强念升级成特殊Ｚ招式的Ｚ力量结晶。
712,智皮卡Ｚ,サトピカＺ,Pikashunium Z,可用它来制造用于对战并能将戴着帽子的皮卡丘的十万伏特升级成特殊Ｚ招式的Ｚ力量结晶。
713,索尔迦雷欧Ｚ,ソルガレオＺ,Solganium Z,可用它来制造用于对战并能将索尔迦雷欧的流星闪冲升级成Ｚ招式的Ｚ力量结晶。
714,露奈雅拉Ｚ,ルナアーラＺ,Lunalium Z,可用它来制造用于对战并能将露奈雅拉的暗影之光升级成Ｚ招式的Ｚ力量结晶。
715,究极奈克洛Ｚ,ウルトラネクロＺ,Ultranecrozium Z,能让和索尔迦雷欧或露奈雅拉合体的奈克洛兹玛变成崭新样子的结晶。
716,谜拟ＱＺ,ミミッキュＺ,Mimikium Z,可用它来制造用于对战并能将谜拟Ｑ的嬉闹升级成Ｚ招式的Ｚ力量结晶。
717,鬃岩狼人Ｚ,ルガルガンＺ,Lycanium Z,可用它来制造用于对战并能将鬃岩狼人的尖石攻击升级成Ｚ招式的Ｚ力量结晶。
718,杖尾鳞甲龙Ｚ,ジャラランガＺ,Kommonium Z,可用它来制造用于对战并能将杖尾鳞甲龙的鳞片噪音升级成Ｚ招式的Ｚ力量结晶。
719,一般Ｚ,ノーマルＺ,Normalium Z,Ｚ力量的结晶。会将一般属性的招式升级成Ｚ招式。
720,火Ｚ,ホノオＺ,Firium Z,Ｚ力量的结晶。会将火属性的招式升级成Ｚ招式。
721,水Ｚ,ミズＺ,Waterium Z,Ｚ力量的结晶。会将水属性的招式升级成Ｚ招式。
722,电Ｚ,デンキＺ,Electrium Z,Ｚ力量的结晶。会将电属性的招式升级成Ｚ招式。
723,草Ｚ,クサＺ,Grassium Z,Ｚ力量的结晶。会将草属性的招式升级成Ｚ招式。
724,冰Ｚ,コオリＺ,Icium Z,Ｚ力量的结晶。会将冰属性的招式升级成Ｚ招式。
725,格斗Ｚ,カクトウＺ,Fightinium Z,Ｚ力量的结晶。会将格斗属性的招式升级成Ｚ招式。
726,毒Ｚ,ドクＺ,Poisonium Z,Ｚ力量的结晶。会将毒属性的招式升级成Ｚ招式。
727,地面Ｚ,ジメンＺ,Groundium Z,Ｚ力量的结晶。会将地面属性的招式升级成Ｚ招式。
